date,village,state,latitude,longitude,rainfall_mm,days_since_last_rain,turbidity_ntu,ph_level,dissolved_oxygen_mgL,bacterial_count_cfu,reported_symptom_cases,population_at_risk,outbreak_risk_probability,outbreak_next_7days
2026-02-23,Majuli,Assam,26.95,94.17,20.08,0,9.14,7.72,7.31,104.2,0,1936,0.468,1
2026-02-24,Majuli,Assam,26.95,94.17,33.51,0,12.43,7.31,5.79,145.4,2,2987,0.828,1
2026-02-25,Majuli,Assam,26.95,94.17,2.04,0,2.57,6.32,6.32,70.3,3,1792,0.262,0
2026-02-26,Majuli,Assam,26.95,94.17,5.79,0,4.51,7.26,7.83,91.3,1,2379,0.331,0
2026-02-27,Majuli,Assam,26.95,94.17,5.05,0,3.85,6.14,8.26,89.9,2,354,0.375,0
2026-02-28,Majuli,Assam,26.95,94.17,23.37,0,3.52,6.53,5.17,130.7,0,2790,0.343,0
2026-03-01,Majuli,Assam,26.95,94.17,5.63,0,3.11,5.97,7.71,103.7,8,629,0.626,1
2026-03-02,Majuli,Assam,26.95,94.17,0.72,1,4.72,6.25,7.61,82.2,2,1376,0.32,0
2026-03-03,Majuli,Assam,26.95,94.17,2.79,0,0.5,7.58,6.46,43.9,0,2081,0.281,0
2026-03-04,Majuli,Assam,26.95,94.17,8.29,0,2.74,6.87,6.86,90.6,4,641,0.504,1
2026-03-05,Majuli,Assam,26.95,94.17,1.18,1,4.08,7.97,8.38,52.5,3,2145,0.334,0
2026-03-06,Majuli,Assam,26.95,94.17,10.72,0,5.45,6.55,5.77,51.4,1,1612,0.326,0
2026-03-07,Majuli,Assam,26.95,94.17,2.52,0,4.61,6.26,6.67,94.0,2,360,0.303,0
2026-03-08,Majuli,Assam,26.95,94.17,9.33,0,1.82,6.76,7.1,80.5,2,311,0.33,0
2026-03-09,Majuli,Assam,26.95,94.17,6.25,0,5.87,7.23,7.23,113.7,3,1077,0.429,0
2026-03-10,Majuli,Assam,26.95,94.17,7.1,0,0.8,6.83,6.93,38.8,1,914,0.339,0
2026-03-11,Majuli,Assam,26.95,94.17,0.3,1,0.5,6.16,7.1,22.7,1,315,0.285,0
2026-03-12,Majuli,Assam,26.95,94.17,4.45,0,4.01,7.6,6.81,81.5,0,2071,0.356,0
2026-03-13,Majuli,Assam,26.95,94.17,33.12,0,6.01,6.73,8.24,145.5,1,2281,0.52,1
2026-03-14,Majuli,Assam,26.95,94.17,7.12,0,5.63,6.85,5.36,86.8,3,1633,0.43,0
2026-03-15,Majuli,Assam,26.95,94.17,7.49,0,4.09,6.06,6.59,67.2,2,1343,0.311,0
2026-03-16,Majuli,Assam,26.95,94.17,42.24,0,7.48,6.3,7.46,141.3,1,1590,0.766,1
2026-03-17,Majuli,Assam,26.95,94.17,16.79,0,9.27,6.63,6.03,132.7,2,1499,0.552,1
2026-03-18,Majuli,Assam,26.95,94.17,5.48,0,3.51,7.13,6.48,113.8,3,2016,0.382,0
2026-03-19,Majuli,Assam,26.95,94.17,9.12,0,5.93,7.83,7.28,92.4,2,1547,0.385,0
2026-03-20,Majuli,Assam,26.95,94.17,0.7,1,5.38,5.86,6.16,66.5,0,1293,0.202,0
2026-03-21,Majuli,Assam,26.95,94.17,3.35,0,3.67,7.36,6.72,66.0,2,2653,0.296,0
2026-03-22,Majuli,Assam,26.95,94.17,36.96,0,6.52,8.15,7.82,153.9,1,815,0.625,1
2026-03-23,Majuli,Assam,26.95,94.17,4.44,0,1.99,6.26,6.29,85.4,1,1288,0.316,0
2026-03-24,Majuli,Assam,26.95,94.17,23.0,0,9.99,6.36,4.67,109.2,3,1594,0.609,1
2026-03-25,Majuli,Assam,26.95,94.17,5.1,0,7.4,6.27,6.69,104.4,1,826,0.273,0
2026-03-26,Majuli,Assam,26.95,94.17,5.25,0,3.17,8.08,6.45,32.5,0,573,0.231,0
2026-03-27,Majuli,Assam,26.95,94.17,9.13,0,4.86,7.2,6.41,116.0,5,1633,0.537,1
2026-03-28,Majuli,Assam,26.95,94.17,7.7,0,5.82,8.07,5.45,97.7,1,2009,0.334,0
2026-03-29,Majuli,Assam,26.95,94.17,9.45,0,2.82,7.21,6.66,123.6,4,1194,0.497,1
2026-03-30,Majuli,Assam,26.95,94.17,8.25,0,8.3,7.12,5.72,101.9,3,961,0.547,1
2026-03-31,Majuli,Assam,26.95,94.17,3.23,0,5.2,6.71,10.0,86.3,1,2048,0.211,0
2026-04-01,Majuli,Assam,26.95,94.17,10.39,0,4.07,7.94,5.03,38.7,1,1569,0.355,0
2026-04-02,Majuli,Assam,26.95,94.17,3.56,0,1.2,6.6,3.76,44.9,3,852,0.364,0
2026-04-03,Majuli,Assam,26.95,94.17,2.27,0,3.91,7.64,3.82,88.4,1,600,0.224,0
2026-04-04,Majuli,Assam,26.95,94.17,2.16,0,4.91,7.26,6.14,31.7,2,1607,0.241,0
2026-04-05,Majuli,Assam,26.95,94.17,0.3,1,5.72,7.73,7.96,93.1,3,1343,0.314,0
2026-04-06,Majuli,Assam,26.95,94.17,0.42,2,2.67,6.26,7.26,77.1,2,516,0.192,0
2026-04-07,Majuli,Assam,26.95,94.17,8.15,0,4.55,7.65,3.98,174.5,1,1191,0.349,0
2026-04-08,Majuli,Assam,26.95,94.17,8.95,0,2.82,6.63,8.8,66.8,5,2163,0.489,1
2026-04-09,Majuli,Assam,26.95,94.17,12.7,0,5.63,7.45,7.51,149.5,1,793,0.313,0
2026-04-10,Majuli,Assam,26.95,94.17,20.79,0,5.43,7.54,6.33,82.5,2,2952,0.504,1
2026-04-11,Majuli,Assam,26.95,94.17,4.76,0,3.2,6.21,8.47,105.9,2,603,0.254,0
2026-04-12,Majuli,Assam,26.95,94.17,6.94,0,1.63,8.4,7.37,83.4,2,2138,0.38,0
2026-04-13,Majuli,Assam,26.95,94.17,0.59,1,4.32,7.23,5.04,70.1,1,1971,0.21,0
2026-04-14,Majuli,Assam,26.95,94.17,2.98,0,5.84,7.91,7.43,78.6,0,2506,0.162,0
2026-04-15,Majuli,Assam,26.95,94.17,9.88,0,5.31,6.44,8.18,90.2,1,1960,0.243,0
2026-04-16,Majuli,Assam,26.95,94.17,18.91,0,9.39,7.19,8.31,99.4,5,1549,0.64,1
2026-04-17,Majuli,Assam,26.95,94.17,5.12,0,1.89,7.09,5.22,42.9,1,562,0.231,0
2026-04-18,Majuli,Assam,26.95,94.17,9.5,0,3.57,6.14,4.2,107.8,1,1490,0.367,0
2026-04-19,Majuli,Assam,26.95,94.17,11.85,0,6.8,6.21,4.54,151.9,1,2035,0.312,0
2026-04-20,Majuli,Assam,26.95,94.17,8.42,0,6.49,5.8,6.95,138.7,4,2800,0.438,0
2026-04-21,Majuli,Assam,26.95,94.17,1.54,1,2.17,7.38,5.4,69.8,2,585,0.257,0
2026-04-22,Majuli,Assam,26.95,94.17,5.89,0,6.15,6.55,6.77,83.4,3,640,0.405,0
2026-04-23,Majuli,Assam,26.95,94.17,3.4,0,4.46,6.03,5.84,110.1,2,1993,0.416,0
2026-04-24,Majuli,Assam,26.95,94.17,10.22,0,6.38,6.78,5.96,84.7,0,2111,0.34,0
2026-04-25,Majuli,Assam,26.95,94.17,6.81,0,4.93,7.43,4.14,82.9,1,1903,0.324,0
2026-04-26,Majuli,Assam,26.95,94.17,0.67,1,0.5,6.75,6.86,73.7,3,1383,0.289,0
2026-04-27,Majuli,Assam,26.95,94.17,3.63,0,6.65,5.79,5.82,85.2,3,2610,0.372,0
2026-04-28,Majuli,Assam,26.95,94.17,9.43,0,6.65,7.01,5.63,57.2,3,2439,0.465,1
2026-04-29,Majuli,Assam,26.95,94.17,5.26,0,3.71,6.3,6.22,48.3,3,2742,0.288,0
2026-04-30,Majuli,Assam,26.95,94.17,4.85,0,2.96,6.28,6.45,108.7,2,2376,0.267,0
2026-05-01,Majuli,Assam,26.95,94.17,2.62,0,4.09,7.09,7.21,98.0,2,1331,0.271,0
2026-05-02,Majuli,Assam,26.95,94.17,0.34,1,4.55,7.14,5.95,62.3,1,1584,0.268,0
2026-05-03,Majuli,Assam,26.95,94.17,6.38,0,3.04,6.91,7.64,75.4,3,1940,0.304,0
2026-05-04,Majuli,Assam,26.95,94.17,8.26,0,3.07,6.65,6.55,118.2,3,2150,0.463,1
2026-05-05,Majuli,Assam,26.95,94.17,6.39,0,2.41,6.78,6.88,64.3,2,2227,0.414,0
2026-05-06,Majuli,Assam,26.95,94.17,11.03,0,6.48,6.22,6.78,97.4,2,1786,0.392,0
2026-05-07,Majuli,Assam,26.95,94.17,5.64,0,5.55,7.43,9.26,126.7,2,2476,0.31,0
2026-05-08,Majuli,Assam,26.95,94.17,10.83,0,5.04,6.79,7.23,97.7,3,2581,0.384,0
2026-05-09,Majuli,Assam,26.95,94.17,11.45,0,2.25,6.34,5.95,43.4,4,1380,0.388,0
2026-05-10,Majuli,Assam,26.95,94.17,3.92,0,6.92,7.59,6.19,159.1,0,2883,0.268,0
2026-05-11,Majuli,Assam,26.95,94.17,9.03,0,3.65,7.5,6.49,118.6,0,1167,0.291,0
2026-05-12,Majuli,Assam,26.95,94.17,5.83,0,6.49,6.31,6.27,80.4,0,1583,0.179,0
2026-05-13,Majuli,Assam,26.95,94.17,5.48,0,5.64,6.43,6.86,53.8,2,880,0.307,0
2026-05-14,Majuli,Assam,26.95,94.17,14.76,0,6.53,7.31,5.86,67.2,0,940,0.193,0
2026-05-15,Majuli,Assam,26.95,94.17,12.12,0,4.28,6.79,7.37,79.0,1,1205,0.358,0
2026-05-16,Majuli,Assam,26.95,94.17,2.54,0,2.87,6.82,8.38,57.2,0,2986,0.202,0
2026-05-17,Majuli,Assam,26.95,94.17,2.16,0,4.92,8.01,7.89,78.0,4,2231,0.402,0
2026-05-18,Majuli,Assam,26.95,94.17,3.44,0,4.08,6.56,5.53,88.7,1,476,0.308,0
2026-05-19,Majuli,Assam,26.95,94.17,6.27,0,4.46,6.5,4.98,84.0,4,910,0.477,1
2026-05-20,Majuli,Assam,26.95,94.17,0.43,1,4.16,6.62,7.22,62.0,2,2405,0.219,0
2026-05-21,Majuli,Assam,26.95,94.17,11.11,0,8.77,8.21,6.18,99.2,1,2615,0.377,0
2026-05-22,Majuli,Assam,26.95,94.17,5.93,0,4.07,7.55,5.7,138.7,4,339,0.46,1
2026-05-23,Majuli,Assam,26.95,94.17,5.66,0,3.71,7.05,8.13,55.9,5,1223,0.388,0
2026-05-24,Majuli,Assam,26.95,94.17,17.09,0,8.06,6.29,6.19,115.4,3,1718,0.551,1
2026-05-25,Majuli,Assam,26.95,94.17,18.53,0,3.2,7.65,7.38,58.6,2,2893,0.405,0
2026-05-26,Majuli,Assam,26.95,94.17,3.42,0,7.62,7.97,6.11,147.5,4,1235,0.55,1
2026-05-27,Majuli,Assam,26.95,94.17,0.03,1,2.16,7.3,7.54,55.9,1,850,0.222,0
2026-05-28,Majuli,Assam,26.95,94.17,13.18,0,5.76,7.52,6.92,49.2,1,1830,0.282,0
2026-05-29,Majuli,Assam,26.95,94.17,4.39,0,4.0,7.25,5.98,104.5,3,2812,0.353,0
2026-05-30,Majuli,Assam,26.95,94.17,2.22,0,7.9,6.99,6.14,137.2,1,367,0.216,0
2026-05-31,Majuli,Assam,26.95,94.17,16.78,0,4.96,7.48,7.17,157.3,2,2344,0.408,0
2026-06-01,Majuli,Assam,26.95,94.17,17.88,0,2.74,6.33,6.37,42.4,2,1071,0.406,0
2026-06-02,Majuli,Assam,26.95,94.17,11.65,0,9.51,6.89,6.65,142.6,3,1747,0.52,1
2026-06-03,Majuli,Assam,26.95,94.17,15.23,0,1.39,6.23,3.34,90.0,1,1003,0.478,1
2026-06-04,Majuli,Assam,26.95,94.17,17.25,0,6.48,6.89,5.57,96.0,1,318,0.362,0
2026-06-05,Majuli,Assam,26.95,94.17,12.7,0,2.24,7.16,7.11,20.5,3,2778,0.454,1
2026-06-06,Majuli,Assam,26.95,94.17,1.47,1,7.37,7.54,6.18,82.2,2,2093,0.304,0
2026-06-07,Majuli,Assam,26.95,94.17,26.5,0,5.35,6.35,8.19,89.8,5,2643,0.669,1
2026-06-08,Majuli,Assam,26.95,94.17,41.16,0,8.75,8.14,5.5,116.9,3,2767,0.849,1
2026-06-09,Majuli,Assam,26.95,94.17,26.82,0,6.01,6.43,5.19,90.1,5,2787,0.757,1
2026-06-10,Majuli,Assam,26.95,94.17,4.35,0,3.63,7.08,6.77,15.5,1,1763,0.252,0
2026-06-11,Majuli,Assam,26.95,94.17,106.22,0,17.02,8.13,5.95,184.7,3,2337,0.904,1
2026-06-12,Majuli,Assam,26.95,94.17,62.37,0,6.7,6.13,5.49,90.3,1,1096,0.823,1
2026-06-13,Majuli,Assam,26.95,94.17,8.17,0,5.13,6.94,7.04,43.9,1,1739,0.223,0
2026-06-14,Majuli,Assam,26.95,94.17,29.63,0,7.02,6.21,5.16,128.6,2,2451,0.645,1
2026-06-15,Majuli,Assam,26.95,94.17,9.46,0,6.66,6.89,8.23,82.4,3,2742,0.447,0
2026-06-16,Majuli,Assam,26.95,94.17,19.13,0,6.24,6.76,5.87,98.8,3,2246,0.421,0
2026-06-17,Majuli,Assam,26.95,94.17,17.18,0,9.59,8.63,6.18,162.5,3,1180,0.625,1
2026-06-18,Majuli,Assam,26.95,94.17,8.51,0,3.29,6.35,7.56,100.0,1,318,0.369,0
2026-06-19,Majuli,Assam,26.95,94.17,5.37,0,4.82,7.73,4.77,94.0,1,1398,0.281,0
2026-06-20,Majuli,Assam,26.95,94.17,10.3,0,5.24,6.92,6.54,110.2,1,2458,0.292,0
2026-06-21,Majuli,Assam,26.95,94.17,5.69,0,3.15,6.83,7.73,51.5,1,1376,0.236,0
2026-06-22,Majuli,Assam,26.95,94.17,12.91,0,3.89,7.35,7.31,93.3,3,2607,0.444,0
2026-06-23,Majuli,Assam,26.95,94.17,3.7,0,0.89,6.56,7.57,2.1,0,2039,0.215,0
2026-06-24,Majuli,Assam,26.95,94.17,12.36,0,6.65,7.56,7.56,109.5,2,1775,0.473,1
2026-06-25,Majuli,Assam,26.95,94.17,37.33,0,8.11,6.9,7.63,108.1,1,322,0.679,1
2026-06-26,Majuli,Assam,26.95,94.17,7.04,0,4.37,7.12,5.71,73.1,3,1678,0.403,0
2026-06-27,Majuli,Assam,26.95,94.17,14.69,0,4.85,6.67,5.04,73.6,4,1496,0.477,1
2026-06-28,Majuli,Assam,26.95,94.17,0.88,1,5.43,6.9,6.95,75.8,1,2396,0.22,0
2026-06-29,Majuli,Assam,26.95,94.17,2.84,0,3.66,5.95,6.64,33.5,0,2458,0.17,0
2026-01-01,Shillong Rural,Meghalaya,25.57,91.88,3.21,0,3.81,7.27,7.24,91.5,0,2295,0.187,0
2026-01-02,Shillong Rural,Meghalaya,25.57,91.88,1.07,1,3.44,6.86,6.73,106.9,2,2902,0.206,0
2026-01-03,Shillong Rural,Meghalaya,25.57,91.88,8.7,0,6.93,7.08,7.12,163.7,3,815,0.432,0
2026-01-04,Shillong Rural,Meghalaya,25.57,91.88,25.32,0,5.65,7.01,6.78,57.4,1,2803,0.417,0
2026-01-05,Shillong Rural,Meghalaya,25.57,91.88,8.08,0,7.97,6.39,5.53,76.0,2,1889,0.377,0
2026-01-06,Shillong Rural,Meghalaya,25.57,91.88,4.3,0,8.61,7.62,5.56,132.5,5,2678,0.542,1
2026-01-07,Shillong Rural,Meghalaya,25.57,91.88,12.61,0,4.4,7.35,4.58,99.1,2,2319,0.363,0
2026-01-08,Shillong Rural,Meghalaya,25.57,91.88,2.27,0,1.74,7.84,7.91,70.9,2,1936,0.232,0
2026-01-09,Shillong Rural,Meghalaya,25.57,91.88,3.79,0,7.11,7.14,6.57,67.2,2,626,0.512,1
2026-01-10,Shillong Rural,Meghalaya,25.57,91.88,3.72,0,1.45,7.85,5.78,5.6,2,2200,0.355,0
2026-01-11,Shillong Rural,Meghalaya,25.57,91.88,29.31,0,5.32,7.45,5.2,113.8,3,2501,0.637,1
2026-01-12,Shillong Rural,Meghalaya,25.57,91.88,17.85,0,5.48,7.85,6.01,83.0,1,774,0.227,0
2026-01-13,Shillong Rural,Meghalaya,25.57,91.88,0.57,1,4.08,7.43,8.02,71.6,4,553,0.304,0
2026-01-14,Shillong Rural,Meghalaya,25.57,91.88,6.33,0,4.47,8.45,7.53,80.6,2,511,0.32,0
2026-01-15,Shillong Rural,Meghalaya,25.57,91.88,2.1,0,6.64,7.49,6.2,137.2,1,571,0.353,0
2026-01-16,Shillong Rural,Meghalaya,25.57,91.88,0.65,1,0.63,8.08,6.96,69.4,2,452,0.238,0
2026-01-17,Shillong Rural,Meghalaya,25.57,91.88,1.11,2,7.02,7.19,5.48,122.4,2,1701,0.258,0
2026-01-18,Shillong Rural,Meghalaya,25.57,91.88,10.44,0,5.49,6.75,7.31,77.8,1,1867,0.34,0
2026-01-19,Shillong Rural,Meghalaya,25.57,91.88,3.92,0,3.59,7.18,7.08,116.2,1,1299,0.238,0
2026-01-20,Shillong Rural,Meghalaya,25.57,91.88,1.58,1,0.5,7.15,8.16,24.1,2,674,0.233,0
2026-01-21,Shillong Rural,Meghalaya,25.57,91.88,6.78,0,4.82,6.62,5.3,55.5,2,318,0.281,0
2026-01-22,Shillong Rural,Meghalaya,25.57,91.88,9.05,0,6.77,7.1,6.45,125.2,0,1897,0.33,0
2026-01-23,Shillong Rural,Meghalaya,25.57,91.88,5.85,0,4.12,6.45,7.57,114.1,2,2933,0.268,0
2026-01-24,Shillong Rural,Meghalaya,25.57,91.88,9.36,0,2.93,7.17,5.22,69.9,2,859,0.296,0
2026-01-25,Shillong Rural,Meghalaya,25.57,91.88,7.01,0,1.41,7.1,6.34,31.0,1,2761,0.298,0
2026-01-26,Shillong Rural,Meghalaya,25.57,91.88,9.12,0,7.51,6.86,6.45,64.2,4,2401,0.522,1
2026-01-27,Shillong Rural,Meghalaya,25.57,91.88,3.17,0,5.02,7.18,6.56,130.5,2,1637,0.231,0
2026-01-28,Shillong Rural,Meghalaya,25.57,91.88,7.27,0,0.97,5.97,8.03,80.8,2,902,0.325,0
2026-01-29,Shillong Rural,Meghalaya,25.57,91.88,5.9,0,4.22,6.63,6.68,106.8,2,2767,0.278,0
2026-01-30,Shillong Rural,Meghalaya,25.57,91.88,6.13,0,8.05,7.23,5.92,114.5,2,1122,0.253,0
2026-01-31,Shillong Rural,Meghalaya,25.57,91.88,9.99,0,4.94,6.91,8.29,92.1,6,866,0.504,1
2026-02-01,Shillong Rural,Meghalaya,25.57,91.88,24.43,0,7.58,6.31,4.86,131.9,1,2977,0.523,1
2026-02-02,Shillong Rural,Meghalaya,25.57,91.88,12.66,0,4.62,7.48,3.66,55.3,0,1368,0.274,0
2026-02-03,Shillong Rural,Meghalaya,25.57,91.88,1.45,1,0.5,7.07,8.59,45.6,1,2594,0.23,0
2026-02-04,Shillong Rural,Meghalaya,25.57,91.88,2.23,0,2.49,6.26,7.04,116.6,5,538,0.408,0
2026-02-05,Shillong Rural,Meghalaya,25.57,91.88,0.98,1,4.21,6.44,6.81,56.8,2,2076,0.234,0
2026-02-06,Shillong Rural,Meghalaya,25.57,91.88,7.56,0,5.59,7.52,7.62,88.0,3,1522,0.37,0
2026-02-07,Shillong Rural,Meghalaya,25.57,91.88,4.8,0,3.13,7.2,6.14,72.4,0,2881,0.269,0
2026-02-08,Shillong Rural,Meghalaya,25.57,91.88,5.22,0,5.67,6.55,6.69,130.7,4,505,0.377,0
2026-02-09,Shillong Rural,Meghalaya,25.57,91.88,3.73,0,4.19,6.89,5.76,136.3,2,1805,0.268,0
2026-02-10,Shillong Rural,Meghalaya,25.57,91.88,11.86,0,3.72,7.05,7.05,123.4,4,2748,0.46,1
2026-02-11,Shillong Rural,Meghalaya,25.57,91.88,2.39,0,5.17,6.24,8.89,107.2,2,1254,0.316,0
2026-02-12,Shillong Rural,Meghalaya,25.57,91.88,15.82,0,6.38,7.39,6.96,149.3,1,2408,0.5,1
2026-02-13,Shillong Rural,Meghalaya,25.57,91.88,3.14,0,5.38,6.51,5.77,62.6,2,2687,0.333,0
2026-02-14,Shillong Rural,Meghalaya,25.57,91.88,3.68,0,3.45,6.96,6.1,92.3,1,1505,0.218,0
2026-02-15,Shillong Rural,Meghalaya,25.57,91.88,9.82,0,6.27,7.36,7.75,99.8,2,807,0.368,0
2026-02-16,Shillong Rural,Meghalaya,25.57,91.88,8.5,0,6.09,7.8,6.96,131.5,4,1945,0.508,1
2026-02-17,Shillong Rural,Meghalaya,25.57,91.88,3.72,0,4.69,7.91,8.12,12.0,4,1398,0.33,0
2026-02-18,Shillong Rural,Meghalaya,25.57,91.88,1.47,1,8.07,7.0,7.71,154.8,1,392,0.374,0
2026-02-19,Shillong Rural,Meghalaya,25.57,91.88,23.77,0,5.31,7.1,6.02,32.7,7,1352,0.609,1
2026-02-20,Shillong Rural,Meghalaya,25.57,91.88,4.4,0,4.83,6.55,5.14,107.3,3,2978,0.354,0
2026-02-21,Shillong Rural,Meghalaya,25.57,91.88,7.72,0,6.41,6.79,5.46,40.8,3,349,0.341,0
2026-02-22,Shillong Rural,Meghalaya,25.57,91.88,2.5,0,0.85,6.72,5.76,88.3,1,335,0.307,0
2026-02-23,Shillong Rural,Meghalaya,25.57,91.88,1.89,1,1.91,6.77,6.9,91.7,1,785,0.197,0
2026-02-24,Shillong Rural,Meghalaya,25.57,91.88,12.13,0,3.05,6.32,6.31,105.5,3,1722,0.433,0
2026-02-25,Shillong Rural,Meghalaya,25.57,91.88,1.78,1,4.22,7.91,6.93,7.5,4,2571,0.455,1
